groupID,group_name,description,location
1,Lajo,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer
2,Realbuzz,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis
3,Thoughtstorm,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur
4,Feednation,,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit
5,Janyx,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
6,Dazzlesphere,ut mauris eget massa tempor convallis nulla neque libero convallis,
7,Ozu,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,semper rutrum nulla nunc purus phasellus in felis donec semper
8,Vitz,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a
9,Chatterbridge,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,
10,Realblab,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat
11,Feednation,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae
12,Jetpulse,,
13,Devify,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,tincidunt lacus at velit vivamus vel nulla eget eros elementum
14,Realcube,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut
15,Skidoo,,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris
16,Gabcube,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris
17,Skiptube,,
18,Kamba,mauris morbi non lectus aliquam sit amet diam in magna bibendum,aenean sit amet justo morbi ut odio cras mi pede malesuada
19,Kayveo,,
20,Twimbo,justo in hac habitasse platea dictumst etiam faucibus cursus urna,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt
21,BlogXS,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut
