taskID,task_name,date_created,time_created,due_date,due_time,description,priority,location,completed,,
1,"Meet Eichmann, Von and Hessel",2019-11-20,10:17:19,2019-12-15,2:56:57,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,3,Serowe,0,,
2,GIS systems,2020-10-02,2:43:18,2020-10-17,22:06:50,,5,,1,,
3,JDF,2019-12-18,9:24:32,2020-01-14,0:34:47,Ut at dolor quis odio consequat varius.,2,,0,,
4,NPI Management,2020-06-30,14:37:03,2020-07-18,12:06:32,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,3,,0,,
5,Meeting with Monahan LLC,2020-04-13,10:47:39,2020-04-20,20:29:02,,1,,0,,
6,Meet Runolfsson-Kozey,2020-08-27,14:21:00,2020-09-10,7:59:02,,3,,0,,
7,Wide Format Printing,2019-11-19,5:20:40,2019-12-07,15:39:10,,3,Cianorte,1,,
8,Oxides,2019-12-24,1:30:43,2019-12-30,10:43:13,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1,,0,,
9,OB/GYN,2020-02-23,3:12:48,2020-03-17,18:21:54,,5,,0,,
10,"Meeting at Willms, Greenfelder and Schamberger",2020-03-04,13:05:59,2020-03-08,6:44:03,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",2,,1,,
11,"Meeting with Nicolas, Emmerich and Sporer",2020-04-26,20:45:06,2020-05-23,5:41:52,,1,,0,,
12,National Association of Realtors,2020-09-29,15:32:48,2020-10-26,12:30:03,,0,,1,,
13,Humanitarian,2019-12-18,16:30:51,2020-01-01,15:03:05,,1,,0,,
14,ConsectetuerAdipiscing.mp3,2020-05-26,9:57:14,2020-06-15,4:50:51,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",4,Agustín Codazzi,0,,
15,PFTrack,2020-03-28,16:45:57,2020-04-04,16:36:24,,5,,1,,
16,Test Planning,2020-05-20,10:38:48,2020-06-06,13:13:46,"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",1,,0,,
17,Business Objects,2020-07-07,4:36:24,2020-07-25,12:21:41,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",1,,1,,
18,take 43799,2019-11-30,8:41:06,2019-12-20,7:43:11,,4,,1,,
19,take 43981,2020-05-30,15:54:55,2020-06-23,0:11:56,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",5,,0,,
20,IVR,2020-05-18,17:57:35,2020-06-10,0:37:11,,1,Ágios Vasíleios,1,,
21,"Meeting at O'Conner, Rosenbaum and Bahringer",2020-02-24,4:26:11,2020-03-09,8:06:18,,1,,0,,
22,RTLS,2020-07-28,22:49:07,2020-08-20,16:05:58,,5,,1,,
23,NPDES,2020-09-25,23:08:21,2020-10-24,8:03:23,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",4,,0,,
24,SRM 5.0,2020-05-04,17:11:24,2020-05-21,18:23:31,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",4,,1,,
25,LaTeX,2019-12-07,14:52:08,2019-12-13,15:52:35,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",3,,0,,
26,Flight Planning,2019-12-26,13:29:48,2019-12-31,7:53:44,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",0,Butubut Norte,1,,
27,DFSS Green Belt,2020-05-31,10:54:43,2020-06-07,11:39:37,,5,Liangshuijing,1,,
28,take 43957,2020-05-06,20:54:07,2020-05-12,2:12:09,,2,Changle,0,,
29,Environmental Impact Assessment,2020-06-26,23:49:47,2020-06-26,10:26:10,Etiam vel augue. Vestibulum rutrum rutrum neque.,2,,1,,
30,Perl,2020-08-05,22:20:23,2020-08-29,16:32:11,,3,,1,,
31,Customer Experience,2020-09-16,15:57:57,2020-09-30,23:53:41,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,4,,1,,
32,CTI,2019-12-07,12:35:02,2019-12-08,6:13:15,,2,La Guacamaya,1,,
33,GCC,2020-08-24,15:55:13,2020-09-22,19:03:03,,3,,0,,
34,Meeting with Dicki-Braun,2020-04-30,9:36:51,2020-05-15,17:40:44,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.",0,,1,,
35,"Meeting at Lindgren, Crooks and Cronin",2020-04-29,3:01:35,2020-05-19,15:27:46,,1,,0,,
36,VBA,2019-11-21,5:27:08,2019-12-11,18:38:47,,3,,1,,
37,take 44073,2020-08-30,2:13:27,2020-09-03,9:14:26,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,0,,0,,
38,take 43934,2020-04-13,19:44:17,2020-04-21,11:51:35,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",0,,0,,
39,take 43970,2020-05-19,20:30:05,2020-06-08,10:04:46,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",3,,1,,
40,Rugs,2020-03-25,22:18:13,2020-04-14,17:21:03,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",3,,1,,
41,take 44086,2020-09-12,23:29:49,2020-09-15,1:41:22,,5,,1,,
