1,MEGACE,pede justo eu massa donec dapibus duis at velit eu est,0
2,Sweet Clover Mixture,,0
3,Lower Back Complex,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,0
4,Aminophylline,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,1
5,2 in 1,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,0
6,Microgestin,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,1
7,Lactulose,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,0
8,Bio Willow,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,1
9,CLONIDINE HYDROCHLORIDE,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,0
10,Citalopram,,0
11,Cultivated Oat,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,1
12,Zonisamide,,0
13,Carvedilol,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,1
14,Tolazamide,,0
15,Black Walnut,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et,0
16,Clonazepam,,0
17,Amidate,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,0
18,LBEL NATURAL FINISH MOISTURIZING FOUNDATION SPF 25,,1
19,Dove Men plus Care,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,1
20,Terrasil Cold Sore Treatment,,0
21,Lorazepam,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan,1
22,CareOne loperamide hydrochloride,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,1
23,donepezil hydrochloride,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,0
24,DEXAMETHASONE SODIUM PHOSPHATE,nulla elit ac nulla sed vel enim sit amet nunc,0
25,Aurum 30 Special Order,tempus semper est quam pharetra magna ac consequat metus sapien ut,0
26,Lexapro,,0
27,Allscale,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,0
28,Cefuroxime Axetil,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,1
29,Hypercalm - Mental Focus,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,1
30,PLANTAGO LANCEOLATA POLLEN,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,0
31,Ibuprofen,,1
32,ED-A-HIST PSE,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel,1
33,Medi-First,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,0
34,Paroxetine,,1
